box_img_group,label,box_img_ratio,IoU,F1,Precision,Recall
0.05~0.10,Liver @ CT,0.08723831176757812,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.00209808349609375,0.0,0.0,0.0,0.0
0.05~0.10,Liver @ CT,0.091766357421875,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.0029754638671875,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.005786895751953125,0.0,0.0,0.0,0.0
0.10~0.15,Liver @ CT,0.1065826416015625,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.0067138671875,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.012176513671875,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.01888275146484375,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.02579498291015625,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.0342864990234375,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.037685394287109375,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.0384521484375,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.040615081787109375,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.043125152587890625,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.0443115234375,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.0443115234375,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.044574737548828125,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.044574737548828125,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.04421234130859375,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.043212890625,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.0421142578125,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.03980255126953125,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.0383148193359375,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.317230224609375,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.3204536437988281,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.3226776123046875,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.32389068603515625,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.00226593017578125,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.3226776123046875,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.0009613037109375,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.325927734375,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.32305145263671875,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.00130462646484375,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.32059478759765625,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.3215904235839844,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.32135009765625,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.3223419189453125,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.3230781555175781,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.324066162109375,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.3280181884765625,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.3264656066894531,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.3213844299316406,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.002765655517578125,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.3178863525390625,0.0,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.0030517578125,0.0,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.316619873046875,0.0,0.0,0.0,0.0
